pclass,survived,sex,age,sibsp,parch
93,1,1,0,48.0,1,0
94,1,1,0,48.0,1,0
95,1,1,1,49.0,1,0
96,1,0,1,39.0,0,0
97,1,1,0,23.0,0,1
98,1,1,0,38.0,0,0
99,1,1,0,54.0,1,0
100,1,0,0,36.0,0,0
104,1,1,1,36.0,0,0
105,1,0,1,30.0,0,0
106,1,1,0,30.0,0,0
108,1,1,1,50.0,2,0
109,1,1,1,43.0,1,0
111,1,1,0,22.0,0,2
112,1,1,1,60.0,1,1
113,1,1,0,48.0,1,1
115,1,0,1,37.0,1,0
116,1,1,0,35.0,1,0
117,1,0,1,47.0,0,0
118,1,1,0,35.0,0,0
119,1,1,0,22.0,0,1
120,1,1,0,45.0,0,1
121,1,0,1,24.0,0,0
122,1,1,1,49.0,1,0
124,1,0,1,71.0,0,0
125,1,1,1,53.0,0,0
126,1,1,0,19.0,0,0
127,1,0,1,38.0,0,1
128,1,1,0,58.0,0,1
129,1,1,1,23.0,0,1
130,1,1,0,45.0,0,1
131,1,0,1,46.0,0,0
132,1,1,1,25.0,1,0
133,1,1,0,25.0,1,0
134,1,1,1,48.0,1,0
135,1,1,0,49.0,1,0
137,1,0,1,45.0,1,0
138,1,1,0,35.0,1,0
139,1,0,1,40.0,0,0
140,1,1,1,27.0,0,0
142,1,1,0,24.0,0,0
143,1,0,1,55.0,1,1
144,1,1,0,52.0,1,1
145,1,0,1,42.0,0,0
147,1,0,1,55.0,0,0
148,1,1,0,16.0,0,1
149,1,1,0,44.0,0,1
150,1,1,0,51.0,1,0
151,1,0,1,42.0,1,0
152,1,1,0,35.0,1,0
153,1,1,1,35.0,0,0
154,1,1,1,38.0,1,0
156,1,1,0,35.0,1,0
157,1,1,0,38.0,0,0
158,1,0,0,50.0,0,0
159,1,1,1,49.0,0,0
160,1,0,1,46.0,0,0
161,1,0,1,50.0,0,0
162,1,0,1,32.5,0,0
163,1,0,1,58.0,0,0
164,1,0,1,41.0,1,0
166,1,1,1,42.0,1,0
167,1,1,0,45.0,1,0
169,1,1,0,39.0,0,0
170,1,1,0,49.0,0,0
171,1,1,0,30.0,0,0
172,1,1,1,35.0,0,0
174,1,0,1,42.0,0,0
175,1,1,0,55.0,0,0
176,1,1,0,16.0,0,1
177,1,1,0,51.0,0,1
178,1,0,1,29.0,0,0
179,1,1,0,21.0,0,0
180,1,0,1,30.0,0,0
181,1,1,0,58.0,0,0
182,1,1,0,15.0,0,1
183,1,0,1,30.0,0,0
184,1,1,0,16.0,0,0
186,1,0,1,19.0,1,0
187,1,1,0,18.0,1,0
188,1,1,0,24.0,0,0
189,1,0,1,46.0,0,0
190,1,0,1,54.0,0,0
191,1,1,1,36.0,0,0
192,1,0,1,28.0,1,0
194,1,0,1,65.0,0,0
195,1,0,1,44.0,2,0
196,1,1,0,33.0,1,0
197,1,1,0,37.0,1,0
198,1,1,1,30.0,1,0
199,1,0,1,55.0,0,0
200,1,0,1,47.0,0,0
201,1,0,1,37.0,0,1
202,1,1,0,31.0,1,0
203,1,1,0,23.0,1,0
204,1,0,1,58.0,0,2
205,1,1,0,19.0,0,2
206,1,0,1,64.0,0,0
207,1,1,0,39.0,0,0
209,1,1,0,22.0,0,1
210,1,0,1,65.0,0,1
211,1,0,1,28.5,0,0
213,1,0,1,45.5,0,0
214,1,0,1,23.0,0,0
215,1,0,1,29.0,1,0
216,1,1,0,22.0,1,0
217,1,0,1,18.0,1,0
218,1,1,0,17.0,1,0
219,1,1,0,30.0,0,0
220,1,1,1,52.0,0,0
221,1,0,1,47.0,0,0
222,1,1,0,56.0,0,1
223,1,0,1,38.0,0,0
225,1,0,1,22.0,0,0
227,1,1,0,43.0,0,1
228,1,0,1,31.0,0,0
229,1,1,1,45.0,0,0
231,1,1,0,33.0,0,0
232,1,0,1,46.0,0,0
233,1,0,1,36.0,0,0
234,1,1,0,33.0,0,0
235,1,0,1,55.0,1,0
236,1,1,0,54.0,1,0
237,1,0,1,33.0,0,0
238,1,1,1,13.0,2,2
239,1,1,0,18.0,2,2
240,1,1,0,21.0,2,2
241,1,0,1,61.0,1,3
242,1,1,0,48.0,1,3
244,1,1,0,24.0,0,0
246,1,1,0,35.0,1,0
247,1,1,0,30.0,0,0
248,1,1,1,34.0,0,0
249,1,1,0,40.0,0,0
250,1,1,1,35.0,0,0
251,1,0,1,50.0,1,0
252,1,1,0,39.0,1,0
253,1,1,1,56.0,0,0
254,1,1,1,28.0,0,0
255,1,0,1,56.0,0,0
256,1,0,1,56.0,0,0
257,1,0,1,24.0,1,0
259,1,1,0,18.0,1,0
260,1,1,1,24.0,1,0
261,1,1,0,23.0,1,0
262,1,1,1,6.0,0,2
263,1,1,1,45.0,1,1
264,1,1,0,40.0,1,1
265,1,0,1,57.0,1,0
267,1,1,1,32.0,0,0
268,1,0,1,62.0,0,0
269,1,1,1,54.0,1,0
270,1,1,0,43.0,1,0
271,1,1,0,52.0,1,0
273,1,1,0,62.0,0,0
274,1,0,1,67.0,1,0
275,1,0,0,63.0,1,0
276,1,0,1,61.0,0,0
277,1,1,0,48.0,0,0
278,1,1,0,18.0,0,2
279,1,0,1,52.0,1,1
280,1,1,0,39.0,1,1
281,1,1,1,48.0,1,0
283,1,0,1,49.0,1,1
284,1,1,1,17.0,0,2
285,1,1,0,39.0,1,1
287,1,1,1,31.0,0,0
288,1,0,1,40.0,0,0
289,1,0,1,61.0,0,0
290,1,0,1,47.0,0,0
291,1,1,0,35.0,0,0
292,1,0,1,64.0,1,0
293,1,1,0,60.0,1,0
294,1,0,1,60.0,0,0
295,1,0,1,54.0,0,1
296,1,0,1,21.0,0,1
297,1,1,0,55.0,0,0
298,1,1,0,31.0,0,2
299,1,0,1,57.0,1,1
300,1,1,0,45.0,1,1
301,1,0,1,50.0,1,1
302,1,0,1,27.0,0,2
303,1,1,0,50.0,1,1
304,1,1,0,21.0,0,0
305,1,0,1,51.0,0,1
306,1,1,1,21.0,0,1
308,1,1,0,31.0,0,0
310,2,0,1,30.0,1,0
311,2,1,0,28.0,1,0
312,2,0,1,30.0,0,0
313,2,0,1,18.0,0,0
314,2,0,1,25.0,0,0
315,2,0,1,34.0,1,0
316,2,1,0,36.0,1,0
317,2,0,1,57.0,0,0
318,2,0,1,18.0,0,0
319,2,0,1,23.0,0,0
320,2,1,0,36.0,0,0
321,2,0,1,28.0,0,0
322,2,0,1,51.0,0,0
323,2,1,1,32.0,1,0
324,2,1,0,19.0,1,0
325,2,0,1,28.0,0,0
326,2,1,0,24.0,0,0
327,2,1,0,15.0,0,2
328,2,0,1,60.0,1,1
329,2,1,0,40.0,1,1
330,2,1,0,20.0,1,0
331,2,0,1,25.0,1,0
332,2,1,0,36.0,0,0
333,2,0,1,25.0,0,0
334,2,0,1,42.0,0,0
335,2,1,0,42.0,0,0
336,2,1,1,0.8333,0,2
337,2,1,1,26.0,1,1
338,2,1,0,22.0,1,1
339,2,1,0,35.0,0,0
341,2,0,1,19.0,0,0
342,2,0,0,44.0,1,0
343,2,0,1,54.0,1,0
344,2,0,1,52.0,0,0
345,2,0,1,37.0,1,0
346,2,0,0,29.0,1,0
347,2,1,0,25.0,1,1
348,2,1,0,45.0,0,2
349,2,0,1,29.0,1,0
350,2,1,0,28.0,1,0
351,2,0,1,29.0,0,0
352,2,0,1,28.0,0,0
353,2,1,1,24.0,0,0
354,2,1,0,8.0,0,2
355,2,0,1,31.0,1,1
356,2,1,0,31.0,1,1
357,2,1,0,22.0,0,0
358,2,0,0,30.0,0,0
360,2,0,1,21.0,0,0
362,2,1,1,8.0,1,1
363,2,0,1,18.0,0,0
364,2,1,0,48.0,0,2
365,2,1,0,28.0,0,0
366,2,0,1,32.0,0,0
367,2,0,1,17.0,0,0
368,2,0,1,29.0,1,0
369,2,1,0,24.0,1,0
370,2,0,1,25.0,0,0
371,2,0,1,18.0,0,0
372,2,1,0,18.0,0,1
373,2,1,0,34.0,0,1
374,2,0,1,54.0,0,0
375,2,1,1,8.0,0,2
376,2,0,1,42.0,1,1
377,2,1,0,34.0,1,1
378,2,1,0,27.0,1,0
379,2,1,0,30.0,1,0
380,2,0,1,23.0,0,0
381,2,0,1,21.0,0,0
382,2,0,1,18.0,0,0
383,2,0,1,40.0,1,0
384,2,1,0,29.0,1,0
385,2,0,1,18.0,0,0
386,2,0,1,36.0,0,0
388,2,0,0,38.0,0,0
389,2,0,1,35.0,0,0
390,2,0,1,38.0,1,0
391,2,0,1,34.0,1,0
392,2,1,0,34.0,0,0
393,2,0,1,16.0,0,0
394,2,0,1,26.0,0,0
395,2,0,1,47.0,0,0
396,2,0,1,21.0,1,0
397,2,0,1,21.0,1,0
398,2,0,1,24.0,0,0
399,2,0,1,24.0,0,0
400,2,0,1,34.0,0,0
401,2,0,1,30.0,0,0
402,2,0,1,52.0,0,0
403,2,0,1,30.0,0,0
404,2,1,1,0.6667,1,1
405,2,1,0,24.0,0,2
406,2,0,1,44.0,0,0
407,2,1,0,6.0,0,1
408,2,0,1,28.0,0,1
409,2,1,1,62.0,0,0
410,2,0,1,30.0,0,0
411,2,1,0,7.0,0,2
412,2,0,1,43.0,1,1
413,2,1,0,45.0,1,1
414,2,1,0,24.0,1,2
415,2,1,0,24.0,1,2
416,2,0,1,49.0,1,2
417,2,1,0,48.0,1,2
418,2,1,0,55.0,0,0
419,2,0,1,50.0,0,0
420,2,0,1,44.0,1,0
421,2,1,0,29.0,1,0
422,2,0,1,21.0,0,0
423,2,1,1,42.0,0,0
424,2,0,1,63.0,1,0
425,2,0,0,60.0,1,0
426,2,0,1,33.0,0,0
427,2,1,0,17.0,0,0
428,2,0,1,42.0,1,0
429,2,1,0,24.0,2,1
430,2,0,1,47.0,0,0
431,2,0,1,24.0,2,0
432,2,0,1,22.0,2,0
433,2,0,1,32.0,0,0
434,2,1,0,23.0,0,0
435,2,0,1,34.0,1,0
436,2,1,0,24.0,1,0
437,2,0,0,22.0,0,0
439,2,0,1,35.0,0,0
440,2,1,0,45.0,0,0
441,2,0,1,57.0,0,0
443,2,0,1,31.0,0,0
444,2,0,0,26.0,1,1
445,2,0,1,30.0,1,1
447,2,1,0,1.0,1,2
448,2,1,0,3.0,1,2
449,2,0,1,25.0,1,2
450,2,1,0,22.0,1,2
451,2,1,0,17.0,0,0
453,2,1,0,34.0,0,0
454,2,0,1,36.0,0,0
455,2,0,1,24.0,0,0
456,2,0,1,61.0,0,0
457,2,0,1,50.0,1,0
458,2,1,0,42.0,1,0
459,2,0,0,57.0,0,0
462,2,0,1,30.0,0,0
463,2,0,1,40.0,0,0
464,2,0,1,32.0,0,0
465,2,0,1,30.0,0,0
466,2,0,1,46.0,0,0
467,2,1,0,13.0,0,1
468,2,1,0,41.0,0,1
469,2,1,1,19.0,0,0
470,2,0,1,39.0,0,0
471,2,0,1,48.0,0,0
472,2,0,1,70.0,0,0
473,2,0,1,27.0,0,0
474,2,0,1,54.0,0,0
475,2,0,1,39.0,0,0
476,2,0,1,16.0,0,0
477,2,0,1,62.0,0,0
478,2,0,1,32.5,1,0
479,2,1,0,14.0,1,0
480,2,1,1,2.0,1,1
481,2,1,1,3.0,1,1
482,2,0,1,36.5,0,2
483,2,0,1,26.0,0,0
484,2,0,1,19.0,1,1
485,2,0,1,28.0,0,0
486,2,1,1,20.0,0,0
487,2,1,0,29.0,0,0
488,2,0,1,39.0,0,0
489,2,1,1,22.0,0,0
491,2,0,1,23.0,0,0
492,2,1,1,29.0,0,0
493,2,0,1,28.0,0,0
495,2,1,0,50.0,0,1
496,2,0,1,19.0,0,0
498,2,0,1,41.0,0,0
499,2,1,0,21.0,0,1
500,2,1,0,19.0,0,0
501,2,0,1,43.0,0,1
502,2,1,0,32.0,0,0
503,2,0,1,34.0,0,0
504,2,1,1,30.0,0,0
505,2,0,1,27.0,0,0
506,2,1,0,2.0,1,1
507,2,1,0,8.0,1,1
508,2,1,0,33.0,0,2
509,2,0,1,36.0,0,0
510,2,0,1,34.0,1,0
511,2,1,0,30.0,3,0
512,2,1,0,28.0,0,0
513,2,0,1,23.0,0,0
514,2,1,1,0.8333,1,1
515,2,1,1,3.0,1,1
516,2,1,0,24.0,2,3
517,2,1,0,50.0,0,0
518,2,0,1,19.0,0,0
519,2,1,0,21.0,0,0
520,2,0,1,26.0,0,0
521,2,0,1,25.0,0,0
522,2,0,1,27.0,0,0
523,2,1,0,25.0,0,1
524,2,1,0,18.0,0,2
525,2,1,0,20.0,0,0
526,2,1,0,30.0,0,0
527,2,0,1,59.0,0,0
528,2,1,0,30.0,0,0
529,2,0,1,35.0,0,0
530,2,1,0,40.0,0,0
531,2,0,1,25.0,0,0
532,2,0,1,41.0,0,0
533,2,0,1,25.0,0,0
534,2,0,1,18.5,0,0
535,2,0,1,14.0,0,0
536,2,1,0,50.0,0,0
537,2,0,1,23.0,0,0
538,2,1,0,28.0,0,0
539,2,1,0,27.0,0,0
540,2,0,1,29.0,1,0
541,2,0,0,27.0,1,0
542,2,0,1,40.0,0,0
543,2,1,0,31.0,0,0
544,2,0,1,30.0,1,0
545,2,0,1,23.0,1,0
546,2,1,0,31.0,0,0
548,2,1,0,12.0,0,0
549,2,1,0,40.0,0,0
550,2,1,0,32.5,0,0
551,2,0,1,27.0,1,0
552,2,1,0,29.0,1,0
553,2,1,1,2.0,1,1
554,2,1,0,4.0,1,1
555,2,1,0,29.0,0,2
556,2,1,0,0.9167,1,2
557,2,1,0,5.0,1,2
558,2,0,1,36.0,1,2
559,2,1,0,33.0,1,2
560,2,0,1,66.0,0,0
562,2,1,1,31.0,0,0
564,2,1,0,26.0,0,0
565,2,0,0,24.0,0,0
566,3,0,1,42.0,0,0
567,3,0,1,13.0,0,2
568,3,0,1,16.0,1,1
569,3,1,0,35.0,1,1
570,3,1,0,16.0,0,0
571,3,1,1,25.0,0,0
572,3,1,1,20.0,0,0
573,3,1,0,18.0,0,0
574,3,0,1,30.0,0,0
575,3,0,1,26.0,0,0
576,3,0,0,40.0,1,0
577,3,1,1,0.8333,0,1
578,3,1,0,18.0,0,1
579,3,1,1,26.0,0,0
580,3,0,1,26.0,0,0
581,3,0,1,20.0,0,0
582,3,0,1,4.0,4,2
583,3,0,0,6.0,4,2
584,3,0,0,2.0,4,2
585,3,1,0,17.0,4,2
586,3,0,0,38.0,4,2
587,3,0,0,9.0,4,2
588,3,0,0,11.0,4,2
589,3,0,1,39.0,1,5
590,3,1,1,27.0,0,0
591,3,0,1,26.0,0,0
592,3,0,0,39.0,1,5
593,3,0,1,20.0,0,0
594,3,0,1,26.0,0,0
595,3,0,1,25.0,1,0
596,3,0,0,18.0,1,0
597,3,0,1,24.0,0,0
598,3,0,1,35.0,0,0
599,3,0,1,5.0,4,2
600,3,0,1,9.0,4,2
601,3,1,1,3.0,4,2
602,3,0,1,13.0,4,2
603,3,1,0,5.0,4,2
604,3,0,1,40.0,1,5
605,3,1,1,23.0,0,0
606,3,1,0,38.0,1,5
607,3,1,0,45.0,0,0
608,3,0,1,21.0,0,0
609,3,0,1,23.0,0,0
610,3,0,0,17.0,0,0
611,3,0,1,30.0,0,0
612,3,0,1,23.0,0,0
613,3,1,0,13.0,0,0
614,3,0,1,20.0,0,0
615,3,0,1,32.0,1,0
616,3,1,0,33.0,3,0
617,3,1,0,0.75,2,1
618,3,1,0,0.75,2,1
619,3,1,0,5.0,2,1
620,3,1,0,24.0,0,3
621,3,1,0,18.0,0,0
622,3,0,1,40.0,0,0
623,3,0,1,26.0,0,0
624,3,1,1,20.0,0,0
625,3,0,0,18.0,0,1
626,3,0,0,45.0,0,1
627,3,0,0,27.0,0,0
628,3,0,1,22.0,0,0
629,3,0,1,19.0,0,0
630,3,0,1,26.0,0,0
631,3,0,1,22.0,0,0
633,3,0,1,20.0,0,0
634,3,1,1,32.0,0,0
635,3,0,1,21.0,0,0
636,3,0,1,18.0,0,0
637,3,0,1,26.0,0,0
638,3,0,1,6.0,1,1
639,3,0,0,9.0,1,1
643,3,0,1,40.0,1,1
644,3,0,0,32.0,1,1
645,3,0,1,21.0,0,0
646,3,1,0,22.0,0,0
647,3,0,0,20.0,0,0
648,3,0,1,29.0,1,0
649,3,0,1,22.0,1,0
650,3,0,1,22.0,0,0
651,3,0,1,35.0,0,0
652,3,0,0,18.5,0,0
653,3,1,1,21.0,0,0
654,3,0,1,19.0,0,0
655,3,0,0,18.0,0,0
656,3,0,0,21.0,0,0
657,3,0,0,30.0,0,0
658,3,0,1,18.0,0,0
659,3,0,1,38.0,0,0
660,3,0,1,17.0,0,0
661,3,0,1,17.0,0,0
662,3,0,0,21.0,0,0
663,3,0,1,21.0,0,0
664,3,0,1,21.0,0,0
667,3,0,1,28.0,0,0
668,3,0,1,24.0,0,0
669,3,1,0,16.0,0,0
670,3,0,0,37.0,0,0
671,3,0,1,28.0,0,0
672,3,0,1,24.0,0,0
673,3,0,1,21.0,0,0
674,3,1,1,32.0,0,0
675,3,0,1,29.0,0,0
676,3,0,1,26.0,1,0
677,3,0,1,18.0,1,0
678,3,0,1,20.0,0,0
679,3,1,1,18.0,0,0
680,3,0,1,24.0,0,0
681,3,0,1,36.0,0,0
682,3,0,1,24.0,0,0
683,3,0,1,31.0,0,0
684,3,0,1,31.0,0,0
685,3,1,0,22.0,0,0
686,3,0,0,30.0,0,0
687,3,0,1,70.5,0,0
688,3,0,1,43.0,0,0
689,3,0,1,35.0,0,0
690,3,0,1,27.0,0,0
691,3,0,1,19.0,0,0
692,3,0,1,30.0,0,0
693,3,1,1,9.0,1,1
694,3,1,1,3.0,1,1
695,3,1,0,36.0,0,2
696,3,0,1,59.0,0,0
697,3,0,1,19.0,0,0
698,3,1,0,17.0,0,1
699,3,0,1,44.0,0,1
700,3,0,1,17.0,0,0
701,3,0,1,22.5,0,0
702,3,1,1,45.0,0,0
703,3,0,0,22.0,0,0
704,3,0,1,19.0,0,0
705,3,1,0,30.0,0,0
706,3,1,1,29.0,0,0
707,3,0,1,0.3333,0,2
708,3,0,1,34.0,1,1
709,3,0,0,28.0,1,1
710,3,0,1,27.0,0,0
711,3,0,1,25.0,0,0
712,3,0,1,24.0,2,0
713,3,0,1,22.0,0,0
714,3,0,1,21.0,2,0
715,3,0,1,17.0,2,0
718,3,1,1,36.5,1,0
719,3,1,0,36.0,1,0
720,3,1,1,30.0,0,0
721,3,0,1,16.0,0,0
722,3,1,0,0.1667,1,2
723,3,0,1,26.0,1,2
724,3,1,0,33.0,1,2
725,3,0,1,25.0,0,0
728,3,0,1,22.0,0,0
729,3,0,1,36.0,0,0
730,3,1,0,19.0,0,0
731,3,0,1,17.0,0,0
732,3,0,1,42.0,0,0
733,3,0,1,43.0,0,0
735,3,0,1,32.0,0,0
736,3,1,1,19.0,0,0
737,3,1,0,30.0,0,0
738,3,0,0,24.0,0,0
739,3,1,0,23.0,0,0
740,3,0,1,33.0,0,0
741,3,0,1,65.0,0,0
742,3,1,1,24.0,0,0
743,3,0,1,23.0,1,0
744,3,1,0,22.0,1,0
745,3,0,1,18.0,0,0
746,3,0,1,16.0,0,0
747,3,0,1,45.0,0,0
749,3,0,1,39.0,0,2
750,3,0,1,17.0,1,1
751,3,0,1,15.0,1,1
752,3,0,1,47.0,0,0
753,3,1,0,5.0,0,0
755,3,0,1,40.5,0,0
757,3,0,1,18.0,0,0
761,3,0,1,26.0,0,0
764,3,0,0,21.0,2,2
765,3,0,0,9.0,2,2
767,3,0,1,18.0,2,2
768,3,0,1,16.0,1,3
769,3,0,0,48.0,1,3
772,3,0,1,25.0,0,0
775,3,0,1,22.0,0,0
776,3,1,0,16.0,0,0
778,3,1,1,9.0,0,2
779,3,0,1,33.0,1,1
780,3,0,1,41.0,0,0
781,3,1,0,31.0,1,1
782,3,0,1,38.0,0,0
783,3,0,1,9.0,5,2
784,3,0,1,1.0,5,2
785,3,0,1,11.0,5,2
786,3,0,0,10.0,5,2
787,3,0,0,16.0,5,2
788,3,0,1,14.0,5,2
789,3,0,1,40.0,1,6
790,3,0,0,43.0,1,6
791,3,0,1,51.0,0,0
792,3,0,1,32.0,0,0
794,3,0,1,20.0,0,0
795,3,0,1,37.0,2,0
796,3,0,1,28.0,2,0
797,3,0,1,19.0,0,0
798,3,0,0,24.0,0,0
799,3,0,0,17.0,0,0
802,3,0,1,28.0,1,0
803,3,1,0,24.0,1,0
804,3,0,1,20.0,0,0
805,3,0,1,23.5,0,0
806,3,0,1,41.0,2,0
807,3,0,1,26.0,1,0
808,3,0,1,21.0,0,0
809,3,1,0,45.0,1,0
811,3,0,1,25.0,0,0
813,3,0,1,11.0,0,0
815,3,1,1,27.0,0,0
817,3,0,0,18.0,0,0
818,3,1,0,26.0,0,0
819,3,0,0,23.0,0,0
820,3,1,0,22.0,0,0
821,3,0,1,28.0,0,0
822,3,0,0,28.0,0,0
824,3,1,0,2.0,0,1
825,3,1,0,22.0,1,1
826,3,0,1,43.0,0,0
827,3,0,1,28.0,0,0
828,3,1,0,27.0,0,0
831,3,0,1,42.0,0,0
833,3,0,1,30.0,0,0
835,3,0,0,27.0,1,0
836,3,0,0,25.0,1,0
838,3,1,1,29.0,0,0
839,3,1,1,21.0,0,0
841,3,0,1,20.0,0,0
842,3,0,1,48.0,0,0
843,3,0,1,17.0,1,0
846,3,0,1,34.0,0,0
847,3,1,1,26.0,0,0
848,3,0,1,22.0,0,0
849,3,0,1,33.0,0,0
850,3,0,1,31.0,0,0
851,3,0,1,29.0,0,0
852,3,1,1,4.0,1,1
853,3,1,0,1.0,1,1
854,3,0,1,49.0,0,0
855,3,0,1,33.0,0,0
856,3,0,1,19.0,0,0
857,3,1,0,27.0,0,2
862,3,0,1,23.0,0,0
863,3,1,1,32.0,0,0
864,3,0,1,27.0,0,0
865,3,0,0,20.0,1,0
866,3,0,0,21.0,1,0
867,3,1,1,32.0,0,0
868,3,0,1,17.0,0,0
869,3,0,1,21.0,0,0
870,3,0,1,30.0,0,0
871,3,1,1,21.0,0,0
872,3,0,1,33.0,0,0
873,3,0,1,22.0,0,0
874,3,1,0,4.0,0,1
875,3,1,1,39.0,0,1
877,3,0,1,18.5,0,0
882,3,0,1,34.5,0,0
883,3,0,1,44.0,0,0
890,3,0,0,22.0,2,0
891,3,0,1,26.0,2,0
892,3,1,0,4.0,0,2
893,3,1,1,29.0,3,1
894,3,1,0,26.0,1,1
895,3,0,0,1.0,1,1
896,3,0,1,18.0,1,1
897,3,0,0,36.0,0,2
899,3,1,1,25.0,0,0
901,3,0,0,37.0,0,0
905,3,1,0,22.0,0,0
907,3,1,1,26.0,0,0
908,3,0,1,29.0,0,0
909,3,0,1,29.0,0,0
910,3,0,1,22.0,0,0
911,3,1,1,22.0,0,0
917,3,0,1,32.0,0,0
918,3,0,1,34.5,0,0
921,3,0,1,36.0,0,0
922,3,0,1,39.0,0,0
923,3,0,1,24.0,0,0
924,3,0,0,25.0,0,0
925,3,0,0,45.0,0,0
926,3,0,1,36.0,1,0
927,3,0,0,30.0,1,0
928,3,1,1,20.0,1,0
930,3,0,1,28.0,0,0
932,3,0,1,30.0,1,0
933,3,0,0,26.0,1,0
935,3,0,1,20.5,0,0
936,3,1,1,27.0,0,0
937,3,0,1,51.0,0,0
938,3,1,0,23.0,0,0
939,3,1,1,32.0,0,0
943,3,1,1,24.0,0,0
944,3,0,1,22.0,0,0
948,3,0,1,29.0,0,0
950,3,0,0,30.5,0,0
953,3,0,1,35.0,0,0
954,3,0,1,33.0,0,0
965,3,1,0,15.0,0,0
966,3,0,0,35.0,0,0
968,3,0,1,24.0,1,0
969,3,0,0,19.0,1,0
973,3,0,1,55.5,0,0
975,3,1,1,21.0,0,0
977,3,0,1,24.0,0,0
978,3,0,1,21.0,0,0
979,3,0,1,28.0,0,0
982,3,0,1,25.0,0,0
983,3,1,1,6.0,0,1
984,3,1,0,27.0,0,1
989,3,0,1,34.0,0,0
998,3,1,0,24.0,0,0
1003,3,0,1,18.0,0,0
1004,3,0,1,22.0,0,0
1005,3,1,0,15.0,0,0
1006,3,1,0,1.0,0,2
1007,3,1,1,20.0,1,1
1008,3,1,0,19.0,1,1
1009,3,0,1,33.0,0,0
1014,3,1,1,12.0,1,0
1015,3,1,0,14.0,1,0
1016,3,0,0,29.0,0,0
1017,3,0,1,28.0,0,0
1018,3,1,0,18.0,0,0
1019,3,1,0,26.0,0,0
1020,3,0,1,21.0,0,0
1021,3,0,1,41.0,0,0
1022,3,1,1,39.0,0,0
1023,3,0,1,21.0,0,0
1024,3,0,1,28.5,0,0
1025,3,1,0,22.0,0,0
1026,3,0,1,61.0,0,0
1033,3,0,1,23.0,0,0
1037,3,1,0,22.0,0,0
1040,3,1,1,9.0,0,1
1041,3,0,1,28.0,0,0
1042,3,0,1,42.0,0,1
1044,3,0,0,31.0,0,0
1045,3,0,1,28.0,0,0
1046,3,1,1,32.0,0,0
1047,3,0,1,20.0,0,0
1048,3,0,0,23.0,0,0
1049,3,0,0,20.0,0,0
1050,3,0,1,20.0,0,0
1051,3,0,1,16.0,0,0
1052,3,1,0,31.0,0,0
1054,3,0,1,2.0,3,1
1055,3,0,1,6.0,3,1
